Nama,MQ2,MQ4,MQ5,MQ6
Kapal Api,1288,507,1844,207
Kapal Api,1288,518,1837,204
Kapal Api,1287,508,1852,206
Kapal Api,1286,515,1846,210
Kapal Api,1289,508,1850,197
Kapal Api,1280,507,1842,206
Kapal Api,1290,518,1854,206
Kapal Api,1287,507,1847,215
Kapal Api,1296,514,1837,200
Kapal Api,1288,513,1846,208
Kapal Api,1284,512,1843,209
Kapal Api,1282,513,1845,208
Kapal Api,1290,512,1838,201
Kapal Api,1285,516,1841,202
Kapal Api,1281,510,1842,205
Kapal Api,1284,518,1837,213
Kapal Api,1279,513,1834,196
Kapal Api,1275,512,1838,197
Kapal Api,1280,508,1845,200
Kapal Api,1284,510,1834,203
Kapal Api,1284,513,1832,196
Kapal Api,1453,588,1965,266
Kapal Api,1452,584,1968,256
Kapal Api,1442,587,1956,258
Kapal Api,1432,583,1957,262
Kapal Api,1425,583,1951,264
Kapal Api,1418,581,1946,263
Kapal Api,1415,577,1946,261
Kapal Api,1416,577,1938,256
Kapal Api,1409,581,1934,261
Kapal Api,1408,575,1934,257
Kapal Api,1398,574,1930,253
Kapal Api,1395,580,1928,257
Kapal Api,1391,572,1920,253
Kapal Api,1392,572,1926,248
Kapal Api,1395,571,1921,256
Kapal Api,1386,563,1915,252
Kapal Api,1388,566,1907,252
Kapal Api,1382,570,1915,247
Kapal Api,1378,565,1905,251
Kapal Api,1379,566,1905,255
Kapal Api,1368,569,1900,254
Kapal Api,1366,558,1900,244
Kapal Api,1374,556,1888,249
Kapal Api,1373,569,1884,251
Kapal Api,1402,563,1898,239
Kapal Api,1460,569,1923,248
Kapal Api,1507,569,1925,238
Kapal Api,1541,571,1930,240
Kapal Api,1552,571,1932,229
Kapal Api,1557,570,1924,231
Kapal Api,1570,570,1919,228
Kapal Api,1576,565,1926,226
Kapal Api,1581,555,1924,228
Kapal Api,1591,564,1921,226
Kapal Api,1606,558,1909,226
Kapal Api,1602,559,1915,225
Kapal Api,1621,555,1904,218
Kapal Api,1630,549,1909,215
Kapal Api,1638,544,1906,221
Kapal Api,1646,543,1893,223
Kapal Api,1661,541,1899,214
Kapal Api,1666,543,1885,207
Kapal Api,1682,535,1880,219
Kapal Api,1686,533,1880,209
Kapal Api,1688,532,1874,204
Kapal Api,1693,531,1869,209
Kapal Api,1710,528,1870,208
Kapal Api,1712,520,1865,207
Kapal Api,1718,524,1861,203
Kapal Api,1720,520,1859,210
Kapal Api,1731,514,1849,206
Kapal Api,1735,513,1848,205
Kapal Api,1746,509,1839,197
Kapal Api,1741,510,1839,195
Kapal Api,1748,502,1835,198
Kapal Api,1752,502,1831,198
Kapal Api,1753,495,1829,203
Kapal Api,1758,497,1827,191
Kapal Api,1762,502,1818,192
Kapal Api,1772,490,1815,200
Kapal Api,1767,491,1813,199
Kapal Api,1769,497,1806,195
Kapal Api,1774,492,1807,185
Kapal Api,1773,478,1798,185
Kapal Api,1777,482,1799,191
Kapal Api,1787,486,1795,190
Kapal Api,1787,483,1800,187
Kapal Api,1784,473,1789,186
Kapal Api,1789,482,1790,186
Kapal Api,1791,477,1782,182
Kapal Api,1790,467,1780,187
Kapal Api,1788,471,1783,185
Kapal Api,1792,476,1782,190
Kapal Api,1790,463,1774,186
Kapal Api,1797,466,1774,185
Kapal Api,1799,463,1769,184
Kapal Api,1794,464,1766,188
Kapal Api,1800,461,1764,183
Kapal Api,1799,461,1764,186
Kapal Api,1793,458,1767,182
Kapal Api,1802,456,1755,187
Kapal Api,1794,450,1759,173
Kapal Api,1800,455,1750,184
Kapal Api,1799,452,1751,178
Kapal Api,1803,449,1747,179
Kapal Api,1795,451,1748,177
Kapal Api,1803,446,1747,181
Kapal Api,1800,438,1742,183
Kapal Api,1803,448,1745,172
Kapal Api,1803,444,1745,172
Kapal Api,1792,449,1731,179
Kapal Api,1798,443,1738,181
Kapal Api,1799,436,1740,178
Kapal Api,1796,442,1733,171
Kapal Api,1794,437,1732,176
Kapal Api,1792,437,1729,175
Kapal Api,1796,436,1720,175
Kapal Api,1795,427,1732,169
Kapal Api,1797,430,1724,164
Kapal Api,1793,429,1724,173
Kapal Api,1794,435,1726,171
Kapal Api,1795,430,1719,177
Kapal Api,1788,424,1720,170
Kapal Api,1794,422,1719,172
Kapal Api,1794,421,1715,170
Kapal Api,1796,421,1718,171
Kapal Api,1785,422,1708,166
Kapal Api,1783,419,1712,176
Kapal Api,1828,428,1739,196
Kapal Api,1835,438,1764,226
Kapal Api,1790,442,1771,235
Kapal Api,1752,444,1775,239
Kapal Api,1714,447,1782,240
Kapal Api,1685,452,1778,236
Kapal Api,1660,447,1781,247
Kapal Api,1642,453,1784,238
Kapal Api,1621,452,1786,230
Kapal Api,1600,453,1790,238
Kapal Api,1591,461,1789,238
Kapal Api,1577,457,1801,242
Kapal Api,1553,461,1803,239
Kapal Api,1543,461,1798,240
Kapal Api,1533,468,1812,241
Kapal Api,1520,466,1804,237
Kapal Api,1514,468,1809,234
Kapal Api,1499,465,1816,245
Kapal Api,1497,471,1811,234
Kapal Api,1474,473,1819,234
Kapal Api,1472,466,1819,239
Kapal Api,1468,474,1821,234
Kapal Api,1466,474,1819,237
Kapal Api,1453,477,1824,233
Kapal Api,1447,472,1822,231
Kapal Api,1434,471,1830,232
Kapal Api,1428,478,1824,236
Kapal Api,1429,479,1823,232
Kapal Api,1416,481,1821,232
Kapal Api,1417,479,1832,237
Kapal Api,1416,484,1827,245
Kapal Api,1413,485,1835,239
Kapal Api,1408,488,1839,240
Kapal Api,1407,491,1842,235
Kapal Api,1413,491,1843,239
Kapal Api,1401,492,1830,237
Kapal Api,1394,493,1836,252
Kapal Api,1395,490,1841,245
Kapal Api,1393,492,1841,240
Kapal Api,1394,490,1844,244
Kapal Api,1389,496,1842,240
Kapal Api,1387,497,1842,251
Kapal Api,1385,492,1845,241
Kapal Api,1376,499,1837,236
Kapal Api,1375,497,1843,244
Kapal Api,1373,501,1841,238
Kapal Api,1376,507,1837,238
Kapal Api,1375,496,1836,235
Kapal Api,1365,505,1846,241
Kapal Api,1367,501,1840,238
Kapal Api,1358,502,1847,243
Kapal Api,1363,502,1835,242
Kapal Api,1357,499,1836,233
Kapal Api,1353,498,1837,240
Kapal Api,1352,500,1843,238
Kapal Api,1348,499,1835,240
Kapal Api,1349,504,1837,238
Kapal Api,1346,502,1839,241
Kapal Api,1344,505,1841,242
Kapal Api,1339,503,1835,239
Kapal Api,1339,500,1828,238
Kapal Api,1337,497,1831,235
Kapal Api,1338,499,1833,231
Kapal Api,1341,505,1823,233
Kapal Api,1338,499,1833,235
Kapal Api,1334,506,1827,230
Kapal Api,1336,499,1827,239
Kapal Api,1332,500,1830,233
Kapal Api,1327,501,1828,235
Kapal Api,1325,499,1826,226
Kapal Api,1325,506,1825,236
Kapal Api,1322,495,1828,233
Kapal Api,1320,506,1824,232
Kapal Api,1323,498,1824,233
Kapal Api,1315,505,1825,233
Kapal Api,1318,497,1822,233
Kapal Api,1315,501,1823,230
Kapal Api,1313,503,1824,234
Kapal Api,1314,507,1820,235
Kapal Api,1318,505,1827,231
Kapal Api,1312,507,1826,228
Kapal Api,1315,510,1823,228
Kapal Api,1308,502,1820,228
Kapal Api,1305,502,1822,238
Kapal Api,1296,507,1812,237
Kapal Api,1307,512,1821,237
Kapal Api,1300,503,1818,232
Kapal Api,1298,499,1815,229
Kapal Api,1300,509,1816,237
Kapal Api,1299,509,1816,231
Kapal Api,1303,503,1818,231
Kapal Api,1301,505,1819,235
Kapal Api,1297,499,1819,236
Kapal Api,1296,509,1810,234
Kapal Api,1296,507,1815,228
Kapal Api,1292,502,1816,235
Kapal Api,1290,506,1812,226
Kapal Api,1296,499,1812,226
Kapal Api,1298,503,1814,226
Kapal Api,1294,507,1816,233
Kapal Api,1292,511,1807,241
Kapal Api,1288,509,1814,231
Kapal Api,1288,502,1812,233
Kapal Api,1285,506,1808,233
Kapal Api,1290,515,1808,230
Kapal Api,1290,504,1810,225
Kapal Api,1285,509,1806,237
Kapal Api,1285,507,1810,229
Kapal Api,1284,502,1810,228
Kapal Api,1286,509,1812,227
Kapal Api,1282,500,1800,232
Kapal Api,1280,501,1806,235
Kapal Api,1281,508,1799,225
Kapal Api,1277,506,1806,227
Kapal Api,1281,503,1806,229
Kapal Api,1280,509,1802,229
Kapal Api,1283,499,1804,226
Kapal Api,1283,511,1802,229
Kapal Api,1278,505,1804,226
Kapal Api,1280,506,1801,230
Kapal Api,1286,507,1798,227
Kapal Api,1274,502,1800,226
Kapal Api,1273,504,1802,228
Kapal Api,1279,503,1801,226
Kapal Api,1279,513,1799,218
Kapal Api,1272,500,1803,220
Kapal Api,1280,506,1807,227
Kapal Api,1282,507,1804,223
Kapal Api,1277,500,1793,219
Kapal Api,1278,509,1795,223
Kapal Api,1278,514,1810,221
Kapal Api,1272,505,1797,224
Kapal Api,1282,499,1794,224
Kapal Api,1277,506,1798,223
Kapal Api,1277,504,1795,223
Kapal Api,1275,498,1793,227
Kapal Api,1273,505,1794,224
Kapal Api,1273,502,1805,223
Kapal Api,1279,501,1790,224
Kapal Api,1277,512,1794,222
Kapal Api,1280,502,1795,222
Kapal Api,1280,502,1794,222
Kapal Api,1272,500,1795,224
Kapal Api,1273,505,1794,227
Kapal Api,1270,510,1788,224
Kapal Api,1266,499,1798,227
Kapal Api,1271,508,1800,224
Kapal Api,1262,498,1786,244
Kapal Api,1283,514,1787,247
Kapal Api,1313,509,1792,224
Kapal Api,1331,508,1804,229
Kapal Api,1359,501,1804,224
Kapal Api,1370,496,1807,226
Kapal Api,1385,498,1809,225
Kapal Api,1398,505,1811,220
Kapal Api,1411,507,1807,218
Kapal Api,1425,504,1812,218
Kapal Api,1442,504,1809,217
Kapal Api,1459,497,1812,211
Kapal Api,1473,493,1809,211
Kapal Api,1486,495,1810,211
Kapal Api,1500,494,1807,214
Kapal Api,1509,492,1809,206
Kapal Api,1523,500,1807,207
Kapal Api,1535,491,1798,202
Kapal Api,1547,490,1801,204
Kapal Api,1556,490,1800,210
Kapal Api,1564,482,1797,203
Kapal Api,1573,480,1799,207
Kapal Api,1584,482,1793,202
Kapal Api,1590,482,1793,204
Kapal Api,1599,479,1793,205
Kapal Api,1594,476,1789,200
Kapal Api,1607,476,1788,203
Kapal Api,1616,472,1782,204
Kapal Api,1616,472,1786,196
Kapal Api,1629,467,1780,204
Kapal Api,1628,471,1779,198
Kapal Api,1632,466,1777,199
Kapal Api,1634,462,1779,192
Kapal Api,1641,467,1775,197
Kapal Api,1647,463,1776,195
Kapal Api,1646,460,1773,196
Kapal Api,1649,459,1768,190
Kapal Api,1650,460,1769,193
Kapal Api,1664,457,1767,193
Kapal Api,1663,457,1768,191
Kapal Api,1664,456,1760,190
Kapal Api,1663,452,1754,193
Kapal Api,1663,450,1758,193
Kapal Api,1666,447,1754,192
Kapal Api,1670,443,1755,201
Kapal Api,1667,444,1757,193
Kapal Api,1669,443,1755,193
Kapal Api,1675,446,1749,197
Kapal Api,1677,443,1744,187
Kapal Api,1682,437,1747,190
Kapal Api,1684,442,1745,187
Kapal Api,1682,439,1744,187
Kapal Api,1679,440,1742,191
Kapal Api,1683,435,1743,189
Kapal Api,1683,437,1739,183
Kapal Api,1687,437,1738,187
Kapal Api,1685,435,1734,186
Kapal Api,1692,424,1736,187
Kapal Api,1687,437,1735,184
Kapal Api,1690,431,1733,188
Kapal Api,1690,429,1732,183
Kapal Api,1698,432,1726,190
Kapal Api,1694,424,1727,184
Kapal Api,1695,428,1716,175
Kapal Api,1694,427,1726,188
Kapal Api,1694,425,1725,188
Kapal Api,1698,423,1726,185
Kapal Api,1689,421,1724,192
Kapal Api,1698,423,1724,185
Kapal Api,1698,425,1727,185
Kapal Api,1701,414,1719,189
Kapal Api,1701,421,1723,187
Kapal Api,1699,422,1721,183
Kapal Api,1696,419,1719,183
Kapal Api,1698,413,1714,178
Kapal Api,1702,423,1717,181
Kapal Api,1695,418,1718,180
Kapal Api,1702,416,1714,185
Kapal Api,1699,415,1717,182
Kapal Api,1702,403,1710,180
Kapal Api,1698,412,1707,187
Kapal Api,1701,408,1712,186
Kapal Api,1708,409,1713,185
Kapal Api,1703,409,1714,184
Kapal Api,1701,410,1710,187
Kapal Api,1705,407,1712,175
Kapal Api,1701,409,1709,185
Kapal Api,1707,409,1705,177
Kapal Api,1700,412,1705,182
Kapal Api,1703,407,1711,180
Kapal Api,1699,404,1710,184
Kapal Api,1703,408,1703,185
Kapal Api,1706,399,1709,176
Kapal Api,1708,405,1708,180
Kapal Api,1701,404,1700,187
Kapal Api,1702,401,1706,184
Kapal Api,1702,405,1699,182
Kapal Api,1700,403,1701,185
Kapal Api,1701,401,1708,179
Kapal Api,1702,399,1698,182
Kapal Api,1701,398,1700,185
Kapal Api,1695,403,1701,176
Kapal Api,1699,398,1698,179
Kapal Api,1707,396,1700,175
Kapal Api,1701,406,1700,172
Kapal Api,1697,397,1696,182
Kapal Api,1703,399,1695,185
Kapal Api,1704,396,1693,183
Kapal Api,1708,398,1700,180
Kapal Api,1707,400,1700,176
Kapal Api,1702,396,1701,182
